lat,dens
-2.238693467336683796e+01,1.407012248705622956e-02
-2.183417085427136328e+01,1.780754834834083131e-02
-2.128140703517588150e+01,2.227524073891527442e-02
-2.072864321608040683e+01,2.755295266928728393e-02
-2.017587939698492505e+01,3.371792504880329749e-02
-1.962311557788945038e+01,4.084342161863018655e-02
-1.907035175879397570e+01,4.899747167068628506e-02
-1.851758793969849393e+01,5.824184165989729212e-02
-1.796482412060301925e+01,6.863122312542030423e-02
-1.741206030150753747e+01,8.021259685921647287e-02
-1.685929648241206280e+01,9.302471695894520831e-02
-1.630653266331658813e+01,1.070976563622353384e-01
-1.575376884422110635e+01,1.224523684527079465e-01
-1.520100502512563168e+01,1.391002457435762951e-01
-1.464824120603015700e+01,1.570426927073713674e-01
-1.409547738693467522e+01,1.762707699734922528e-01
-1.354271356783920055e+01,1.967650045015206239e-01
-1.298994974874372588e+01,2.184954873922622665e-01
-1.243718592964824410e+01,2.414223902521747678e-01
-1.188442211055276942e+01,2.654970162077300300e-01
-1.133165829145728765e+01,2.906634591189569128e-01
-1.077889447236181297e+01,3.168608747455870511e-01
-1.022613065326633830e+01,3.440262764782440752e-01
-9.673366834170856521e+00,3.720976675787656673e-01
-9.120603015075381848e+00,4.010172286468795533e-01
-8.567839195979900069e+00,4.307342130940428060e-01
-8.015075376884425395e+00,4.612071837781719363e-01
-7.462311557788950722e+00,4.924052643783072281e-01
-6.909547738693468943e+00,5.243081837104269782e-01
-6.356783919597994270e+00,5.569050516398146300e-01
-5.804020100502519597e+00,5.901920000957661117e-01
-5.251256281407037818e+00,6.241690198323649463e-01
-4.698492462311563145e+00,6.588364855091821681e-01
-4.145728643216088471e+00,6.941919527426247960e-01
-3.592964824120606693e+00,7.302278050484775074e-01
-3.040201005025132019e+00,7.669302164223472662e-01
-2.487437185929650241e+00,8.042796871764875677e-01
-1.934673366834175567e+00,8.422531370364688685e-01
-1.381909547738700894e+00,8.808272465061527390e-01
-8.291457286432191154e-01,9.199824788504934459e-01
-2.763819095477444421e-01,9.597070419321005463e-01
2.763819095477373367e-01,1.000000000000000000e+00
8.291457286432120100e-01,1.040872837687973895e+00
1.381909547738686683e+00,1.082349003701889689e+00
1.934673366834168462e+00,1.124461286471920785e+00
2.487437185929643135e+00,1.167247245096668218e+00
3.040201005025117809e+00,1.210743272293896444e+00
3.592964824120599587e+00,1.254978139019937933e+00
4.145728643216074261e+00,1.299967012784448706e+00
4.698492462311548934e+00,1.345706925344918758e+00
5.251256281407030713e+00,1.392174489498915424e+00
5.804020100502505386e+00,1.439326355592924100e+00
