lat,dens
-1.575376884422110635e+01,7.544520300394302881e-01
-1.520100502512563168e+01,7.640964771239416864e-01
-1.464824120603015700e+01,7.735828890944388414e-01
-1.409547738693467522e+01,7.828896459239550465e-01
-1.354271356783920055e+01,7.919974332554798879e-01
-1.298994974874372588e+01,8.008915590691392250e-01
-1.243718592964824410e+01,8.095643161197138005e-01
-1.188442211055276942e+01,8.180170995545777979e-01
-1.133165829145728765e+01,8.262619683734908627e-01
-1.077889447236181297e+01,8.343223629290665855e-01
-1.022613065326633830e+01,8.422327604115076305e-01
-9.673366834170856521e+00,8.500371607407742891e-01
-9.120603015075381848e+00,8.577864338631930874e-01
-8.567839195979900069e+00,8.655347077057249372e-01
-8.015075376884425395e+00,8.733351125051782571e-01
-7.462311557788950722e+00,8.812353008834632462e-01
-6.909547738693468943e+00,8.892732170282148241e-01
-6.356783919597994270e+00,8.974735831116452678e-01
-5.804020100502519597e+00,9.058455063465642443e-01
-5.251256281407037818e+00,9.143814947101254198e-01
-4.698492462311563145e+00,9.230580197286341049e-01
-4.145728643216088471e+00,9.318376012677869191e-01
-3.592964824120606693e+00,9.406722327136006756e-01
-3.040201005025132019e+00,9.495078325520444062e-01
-2.487437185929650241e+00,9.582893118057653759e-01
-1.934673366834175567e+00,9.669657913247385883e-01
-1.381909547738700894e+00,9.754954886256904656e-01
-8.291457286432191154e-01,9.838498177331657102e-01
-2.763819095477444421e-01,9.920163034085874854e-01
2.763819095477373367e-01,1.000000000000000000e+00
8.291457286432120100e-01,1.007823222473367641e+00
1.381909547738686683e+00,1.015523539978872458e+00
1.934673366834168462e+00,1.023150144865162536e+00
2.487437185929643135e+00,1.030758881715323039e+00
3.040201005025117809e+00,1.038406385193473058e+00
3.592964824120599587e+00,1.046143910686461398e+00
4.145728643216074261e+00,1.054011524351863072e+00
4.698492462311548934e+00,1.062033328292139034e+00
5.251256281407030713e+00,1.070214319196793662e+00
5.804020100502505386e+00,1.078539314343685218e+00
6.356783919597987165e+00,1.086974141456848564e+00
6.909547738693461838e+00,1.095469007023158747e+00
7.462311557788936511e+00,1.103963670287639198e+00
8.015075376884418290e+00,1.112393800722802473e+00
8.567839195979892963e+00,1.120697725643892362e+00
9.120603015075374742e+00,1.128822711604950069e+00
9.673366834170849415e+00,1.136729981663217481e+00
1.022613065326632409e+01,1.144397844591422020e+00
1.077889447236179876e+01,1.151822576800400455e+00
1.133165829145727344e+01,1.159017013121460993e+00
1.188442211055276232e+01,1.166007120373127481e+00
1.243718592964823699e+01,1.172827099194873490e+00
1.298994974874371167e+01,1.179513744346705195e+00
